,Sample.ID,name,core,x,y,Sampled.Date,Analysed.Date,time,Upper_Depth,Lower_Depth,Moisture..air.dried.sample,X15E1.CEC.cmol..kg,X15E1.Calcium..Amm.acet...cmol..kg,X15E1.Potassium..Amm.acet...cmol..kg,X15E1.Magnesium..Amm.acet...cmol..kg,X15E1.Sodium..Amm.acet...cmol..kg,X3A1.Electrical.Conductivity.1.dS.m,X4B2.pH..1.5.CaCl2,X4A1.pH..1.5.Water,X7A5.Total.Nitrogen..Combustion..,X6B2.Total.Organic.Carbon.Combustion..
,,2_NSC36_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC36_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC37_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC38_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC39_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC39_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC40_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC40_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC40_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC41_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC41_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC43_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC44_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC45_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC45_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC46_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC49_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC50_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC51_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC52_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC52_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC53_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC58_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC59_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC59_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
